Array length,Registers,Run,Threads,Time,Percent error
27,14,4,3,1.64803966400007,0.453553
28,14,4,3,3.36786209900004,1.591019
29,14,4,3,6.61790918400015,0.534132
30,14,4,3,13.330047505,0.646681
26,14,4,4,0.622698511999999,0.278581
27,14,4,4,1.245811194,0.453553
28,14,4,4,2.489612674,1.591019
29,14,4,4,4.98440001800009,0.534132
30,14,4,4,9.93154032400025,0.646681
26,14,4,5,0.646865977999994,0.278581
27,14,4,5,1.27351674199997,0.453553
28,14,4,5,2.59268136900005,1.591019
29,14,4,5,5.15982707700005,0.534132
30,14,4,5,10.2031653069998,0.646681
26,14,4,6,0.57548017900001,0.278581
27,14,4,6,1.1046321120001,0.453553
28,14,4,6,2.31635285300001,1.591019
29,14,4,6,4.40030852500013,0.534132
30,14,4,6,8.75522643400018,0.646681
26,14,4,7,0.49851230500002,0.278581
27,14,4,7,0.998446749999971,0.453553
28,14,4,7,2.05630290900001,1.591019
29,14,4,7,3.9247004209999,0.534132
30,14,4,7,7.76899191199982,0.646681
26,14,4,8,0.435758195000005,0.278581
27,14,4,8,0.870277830999953,0.453553
28,14,4,8,1.79842623799993,1.591019
29,14,4,8,3.4744861019999,0.534132
30,14,4,8,6.94814642599977,0.646681
26,14,5,1,2.48778932099998,0.278581
27,14,5,1,4.89755970600004,0.453553
28,14,5,1,9.85506012200005,1.591019
29,14,5,1,19.8559019940001,0.534132
30,14,5,1,40.9223090330001,0.646681
26,14,5,2,1.24498081000002,0.278581
27,14,5,2,2.48700784100004,0.453553
28,14,5,2,4.94584353499999,1.591019
29,14,5,2,10.2153343,0.534132
30,14,5,2,19.9919811900004,0.646681
26,14,5,3,0.827303841999992,0.278581
27,14,5,3,1.66486313500002,0.453553
28,14,5,3,3.34023300899992,1.591019
29,14,5,3,6.64390165600003,0.534132
30,14,5,3,13.2119774180001,0.646681
26,14,5,4,0.621748019999984,0.278581
27,14,5,4,1.23884122300001,0.453553
28,14,5,4,2.46126915000002,1.591019
29,14,5,4,4.93496095399996,0.534132
30,14,5,4,9.88938493000023,0.646681
26,14,5,5,0.652189144000033,0.278581
27,14,5,5,1.28573306199996,0.453553
28,14,5,5,2.61672990199997,1.591019
29,14,5,5,5.21148636199996,0.534132
30,14,5,5,9.76271208000026,0.646681
26,14,5,6,0.587780769999995,0.278581
27,14,5,6,1.12386829799993,0.453553
28,14,5,6,2.25164251399997,1.591019
29,14,5,6,4.48732804099996,0.534132
30,14,5,6,8.5834567539996,0.646681
26,14,5,7,0.503693607999992,0.278581
27,14,5,7,0.98080741299998,0.453553
28,14,5,7,2.05462170200008,1.591019
29,14,5,7,3.90380331300003,0.534132
30,14,5,7,7.90911162100019,0.646681
26,14,5,8,0.443336643999999,0.278581
27,14,5,8,0.868954001999896,0.453553
28,14,5,8,1.795400438,1.591019
29,14,5,8,3.47574628200005,0.534132
30,14,5,8,6.95108915600031,0.646681
26,14,6,1,2.48460904900003,0.278581
27,14,6,1,4.93394003100002,0.453553
28,14,6,1,9.78265943100007,1.591019
29,14,6,1,19.8263873870001,0.534132
30,14,6,1,40.2625506859999,0.646681
26,14,6,2,1.287515708,0.278581
27,14,6,2,2.49344757900008,0.453553
28,14,6,2,5.08695794000005,1.591019
29,14,6,2,10.0179505799999,0.534132
30,14,6,2,19.7839005360001,0.646681
26,14,6,3,0.916616050000016,0.278581
27,14,6,3,1.68383689699999,0.453553
28,14,6,3,3.27321289199995,1.591019
29,14,6,3,6.66031062499997,0.534132
30,14,6,3,13.2645240380002,0.646681
26,14,6,4,0.637023290000002,0.278581
27,14,6,4,1.24063377200002,0.453553
28,14,6,4,2.51278611200007,1.591019
29,14,6,4,4.97752412399996,0.534132
30,14,6,4,9.93985102199986,0.646681
26,14,6,5,0.63690541699998,0.278581
27,14,6,5,1.30206705500007,0.453553
28,14,6,5,2.55004130400005,1.591019
29,14,6,5,5.10369218400001,0.534132
30,14,6,5,10.22609788,0.646681
26,14,6,6,0.557955657000036,0.278581
27,14,6,6,1.08979216900002,0.453553
28,14,6,6,2.32107028300004,1.591019
29,14,6,6,4.49835945599989,0.534132
30,14,6,6,8.48355470000024,0.646681
26,14,6,7,0.491784447000043,0.278581
27,14,6,7,0.994842114999983,0.453553
28,14,6,7,2.0480729090001,1.591019
29,14,6,7,3.961522135,0.534132
30,14,6,7,7.93738720900001,0.646681
26,14,6,8,0.437543742999992,0.278581
27,14,6,8,0.867364963,0.453553
28,14,6,8,1.79398256399998,1.591019
29,14,6,8,3.46599841000011,0.534132
30,14,6,8,6.94060952900008,0.646681
26,14,7,1,2.481172867,0.278581
27,14,7,1,5.12300669800004,0.453553
28,14,7,1,9.87409234899997,1.591019
29,14,7,1,19.6612939500001,0.534132
30,14,7,1,39.5831239720001,0.646681
26,14,7,2,1.27149744000002,0.278581
27,14,7,2,2.47169136399998,0.453553
28,14,7,2,4.97941891699998,1.591019
29,14,7,2,9.87017681399993,0.534132
30,14,7,2,19.84938272,0.646681
26,14,7,3,0.835550921999982,0.278581
27,14,7,3,1.65325318300006,0.453553
28,14,7,3,3.3065674070001,1.591019
29,14,7,3,6.590904099,0.534132
30,14,7,3,13.1055096380001,0.646681
26,14,7,4,0.643932782999968,0.278581
27,14,7,4,1.26261221599998,0.453553
28,14,7,4,2.48602783700005,1.591019
29,14,7,4,4.94157346299994,0.534132
30,14,7,4,9.84720675899962,0.646681
26,14,7,5,0.638480425000012,0.278581
27,14,7,5,1.29610523999997,0.453553
28,14,7,5,2.56944390299998,1.591019
29,14,7,5,5.07600054,0.534132
30,14,7,5,10.229344203,0.646681
26,14,7,6,0.580165817999955,0.278581
27,14,7,6,1.15848603199993,0.453553
28,14,7,6,2.32984233699995,1.591019
29,14,7,6,4.40912698400007,0.534132
30,14,7,6,8.60505699399982,0.646681
26,14,7,7,0.500430523000034,0.278581
27,14,7,7,0.995929340999965,0.453553
28,14,7,7,2.00590977299998,1.591019
29,14,7,7,3.94246320299999,0.534132
30,14,7,7,7.82985918599979,0.646681
26,14,7,8,0.439731338000001,0.278581
27,14,7,8,0.878057787999978,0.453553
28,14,7,8,1.79138290600008,1.591019
29,14,7,8,3.47503648899988,0.534132
30,14,7,8,6.9724695230002,0.646681
26,14,8,1,2.45172491300002,0.278581
27,14,8,1,5.3076971239999,0.453553
28,14,8,1,9.81369949300006,1.591019
29,14,8,1,19.683840832,0.534132
30,14,8,1,39.9380853050002,0.646681
26,14,8,2,1.24228452099999,0.278581
27,14,8,2,2.50317205199997,0.453553
28,14,8,2,4.96732713899996,1.591019
29,14,8,2,9.84948712799996,0.534132
30,14,8,2,20.0144038220001,0.646681
26,14,8,3,0.848931858000014,0.278581
27,14,8,3,1.64150453699995,0.453553
28,14,8,3,3.3103815500001,1.591019
29,14,8,3,6.56665747900001,0.534132
30,14,8,3,13.2833510149999,0.646681
26,14,8,4,0.624854825999989,0.278581
27,14,8,4,1.26583216299991,0.453553
28,14,8,4,2.47338549699998,1.591019
29,14,8,4,5.02677373400002,0.534132
30,14,8,4,9.96377177800014,0.646681
26,14,8,5,0.661060146000011,0.278581
27,14,8,5,1.28517141300006,0.453553
28,14,8,5,2.59110926400012,1.591019
29,14,8,5,5.04606222099983,0.534132
30,14,8,5,10.2250586260002,0.646681
26,14,8,6,0.566697112000043,0.278581
27,14,8,6,1.11523970900009,0.453553
28,14,8,6,2.20911856599992,1.591019
29,14,8,6,4.37443693,0.534132
30,14,8,6,8.72746661500014,0.646681
26,14,8,7,0.501894754000034,0.278581
27,14,8,7,0.996198583000023,0.453553
28,14,8,7,2.05096347600011,1.591019
29,14,8,7,3.95257777000006,0.534132
30,14,8,7,7.92801461699992,0.646681
26,14,8,8,0.440280840999947,0.278581
27,14,8,8,0.873432278999985,0.453553
28,14,8,8,1.79399461899993,1.591019
29,14,8,8,3.47104415000013,0.534132
30,14,8,8,6.94480695499988,0.646681
26,14,9,1,2.55194067600002,0.278581
27,14,9,1,5.12933475,0.453553
28,14,9,1,10.865974711,1.591019
29,14,9,1,19.7016554530001,0.534132
30,14,9,1,40.6043027620003,0.646681
26,14,9,2,1.25874033000002,0.278581
27,14,9,2,2.53781711500005,0.453553
28,14,9,2,5.09735178699998,1.591019
29,14,9,2,9.86646910900004,0.534132
30,14,9,2,19.8558046980002,0.646681
26,14,9,3,0.861765990000038,0.278581
27,14,9,3,1.65974741299999,0.453553
28,14,9,3,3.29339109999978,1.591019
29,14,9,3,6.59799509000004,0.534132
30,14,9,3,13.346157816,0.646681
