Array length,Registers,Seed,Run,Threads,Time,Percent error
26,14,1,7,3,0.896371164999891,0.278581
27,14,1,7,3,1.8256552910002,0.453553
28,14,1,7,3,3.60886806500002,1.591019
29,14,1,7,3,6.5302865980002,0.534132
30,14,1,7,3,12.9930722749996,0.646681
25,14,1,7,4,0.318594394000229,0.226281
26,14,1,7,4,0.704901239000264,0.278581
27,14,1,7,4,1.71204144100011,0.453553
28,14,1,7,4,2.7753449249999,1.591019
29,14,1,7,4,6.64902765399984,0.534132
30,14,1,7,4,9.73393141500037,0.646681
25,14,1,7,5,0.304517860000033,0.226281
26,14,1,7,5,0.659917141999813,0.278581
27,14,1,7,5,1.22166683900014,0.453553
28,14,1,7,5,2.5304099330001,1.591019
29,14,1,7,5,4.74082135000026,0.534132
30,14,1,7,5,10.679065157,0.646681
25,14,1,7,6,0.298342566999963,0.226281
26,14,1,7,6,0.609530788000029,0.278581
27,14,1,7,6,1.17712994300018,0.453553
28,14,1,7,6,2.31784588099981,1.591019
29,14,1,7,6,4.56369774299947,0.534132
30,14,1,7,6,9.04901643199992,0.646681
25,14,1,7,7,0.269229515000006,0.226281
26,14,1,7,7,0.542470355000205,0.278581
27,14,1,7,7,1.09918339900014,0.453553
28,14,1,7,7,2.1753794389997,1.591019
29,14,1,7,7,4.16927146499984,0.534132
30,14,1,7,7,8.56620562500029,0.646681
25,14,1,7,8,0.248475092000263,0.226281
26,14,1,7,8,0.484976763000304,0.278581
27,14,1,7,8,0.969436506999955,0.453553
28,14,1,7,8,1.9106841429998,1.591019
29,14,1,7,8,3.84113910300039,0.534132
30,14,1,7,8,7.5259959469995,0.646681
25,14,1,8,1,1.23178932600013,0.226281
26,14,1,8,1,2.69342666000011,0.278581
27,14,1,8,1,5.43987339599971,0.453553
28,14,1,8,1,11.03583054,1.591019
29,14,1,8,1,19.4981363549996,0.534132
30,14,1,8,1,38.7348451339994,0.646681
25,14,1,8,2,0.620112613999936,0.226281
26,14,1,8,2,1.35332253900015,0.278581
27,14,1,8,2,2.77681119999988,0.453553
28,14,1,8,2,5.46427213700008,1.591019
29,14,1,8,2,9.8595338289997,0.534132
30,14,1,8,2,19.4318392929999,0.646681
25,14,1,8,3,0.44554142700008,0.226281
26,14,1,8,3,0.915788155999962,0.278581
27,14,1,8,3,1.81380525600025,0.453553
28,14,1,8,3,3.68065016800028,1.591019
29,14,1,8,3,6.61697020200063,0.534132
30,14,1,8,3,12.9506889370005,0.646681
25,14,1,8,4,0.312984989000142,0.226281
26,14,1,8,4,0.671115166999698,0.278581
27,14,1,8,4,1.37187233000031,0.453553
28,14,1,8,4,2.78294301400001,1.591019
29,14,1,8,4,4.96735427800013,0.534132
30,14,1,8,4,9.72411528900011,0.646681
25,14,1,8,5,0.319161560000339,0.226281
26,14,1,8,5,0.624676553999961,0.278581
27,14,1,8,5,1.21532810200006,0.453553
28,14,1,8,5,2.59277226099994,1.591019
29,14,1,8,5,4.64790985899981,0.534132
30,14,1,8,5,10.1090274910002,0.646681
